STATE,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,RUR_URB,FUNC_SYS,RD_OWNER,ROUTE,TWAY_ID,TWAY_ID2,MILEPT,LATITUDE,LONGITUD,SP_JUR,HARM_EV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,RAIL,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,CF1,CF2,CF3,FATALS,DRUNK_DR
48,482684,1,1,0,1,1,1,1,469,0,16,11,2015,2,19,40,1,1,3,98,2,US-87,NA,245,28.72563889,-96.88333056,0,8,0,0,1,1,0,1,2,10,0,10,0,0,99,98,99,98,88,88,0,0,0,1,0
17,170695,1,1,0,0,0,3,3,165,0,17,10,2015,7,16,27,1,1,3,1,3,SR-13,NA,1187,37.733525,-88.67598611,0,1,0,0,1,1,0,1,1,1,0,1,0,0,16,29,99,99,99,99,0,0,0,1,0
37,370740,1,1,0,1,1,1,1,133,0,8,8,2015,7,0,37,0,1,5,98,4,CR-1324,NA,99999,34.81085,-77.36969444,0,8,0,0,1,1,0,1,2,10,0,10,0,0,0,32,0,41,1,1,0,0,0,1,1
2,20059,1,1,0,1,1,2,2,50,270,14,11,2015,7,18,50,0,1,6,4,6,PTARMINGAN ST,NA,10,60.80501389,-161.8046056,0,8,0,0,1,1,0,1,2,4,1,4,0,0,99,99,99,99,99,99,0,0,0,1,0
48,481763,1,1,0,0,0,5,5,361,5100,7,6,2015,1,17,21,1,2,1,1,1,I-10,NA,186,30.11314444,-93.80679444,0,1,0,0,1,1,0,10,1,1,0,1,0,0,99,99,99,99,99,99,0,0,0,1,0
13,131279,1,1,0,1,1,1,1,163,3250,19,12,2015,7,18,0,0,1,5,1,3,SR-24,NA,120,32.97881944,-82.44941667,0,8,0,0,1,1,0,1,2,1,0,1,0,0,99,98,99,98,88,88,0,0,0,1,0
29,290827,2,2,0,0,0,2,2,189,8250,25,11,2015,4,19,15,1,2,3,1,3,SR-D,SUTTER AVE,88,38.67330833,-90.30092778,0,12,6,0,2,3,0,1,2,10,0,10,0,0,99,99,99,99,99,99,0,0,0,1,0
15,150022,6,2,4,1,1,2,2,3,2400,9,4,2015,5,8,44,1,2,3,1,3,SR-7402 (KING STREET),NA,99999,21.29457222,-157.8293694,0,12,1,0,1,1,0,1,1,1,0,1,0,0,8,46,8,48,9,0,0,0,0,1,0
5,50303,1,1,0,1,1,1,1,51,1912,19,8,2015,4,22,26,0,2,3,1,3,SR-7-09,NA,56,34.44879167,-93.08486667,0,8,0,0,1,1,0,1,2,1,0,1,0,0,22,26,22,31,99,99,0,0,0,1,1
42,420370,2,2,0,0,0,2,2,39,0,12,5,2015,3,7,33,1,1,3,99,2,US-322 TWENTYEIGHTH DIVISION H,NA,203,41.57903889,-80.12564722,0,12,6,0,1,1,0,1,1,1,0,1,0,0,7,34,99,97,99,97,0,0,0,1,0
13,130055,2,2,0,0,0,2,2,67,320,19,1,2015,2,16,23,0,2,3,4,6,C. H. JAMES PARKWAY,GARRETT ROAD,32,33.81908056,-84.65687222,0,12,1,0,3,2,0,1,1,1,0,1,0,0,16,24,16,27,88,88,0,0,0,1,0
42,420449,1,1,0,1,1,1,1,101,6540,22,6,2015,2,22,5,1,2,3,1,3,SR-1004 ERIE AVE,NA,25,40.006375,-75.11694444,0,9,0,0,1,1,0,1,3,1,0,1,0,0,22,3,22,9,22,28,0,0,0,1,0
12,121030,2,2,0,0,0,3,3,95,2360,28,4,2015,3,11,43,9,8,98,98,9,FERN CREEK AVE,VIRGINIA DR,99998,28.564,-81.36046944,0,12,6,0,2,2,0,1,1,2,0,2,0,0,99,99,99,99,99,99,0,0,0,1,0
12,121481,2,2,0,0,0,3,3,11,0,10,8,2015,2,21,5,9,8,98,98,9,48TH ST,NA,99998,26.18591111,-80.1852,0,1,0,0,1,1,0,4,3,1,0,1,0,0,99,99,99,99,99,99,14,0,0,1,0
47,470501,2,2,0,0,0,4,4,93,0,7,8,2015,6,22,32,1,2,3,1,3,SR-62 OAK RIDGE HWY,NA,20,35.97981944,-84.16823056,0,12,2,0,1,1,0,1,2,1,0,1,0,0,99,99,99,99,99,99,0,0,0,1,1
53,530375,3,2,1,0,0,2,2,61,2180,11,9,2015,6,9,17,1,2,3,1,2,US-2,3RD ST,222,47.86155278,-121.8177667,0,12,1,0,3,3,0,1,1,1,0,1,0,0,99,98,99,98,99,98,0,0,0,1,0
6,60324,1,1,0,1,1,1,1,59,3420,18,2,2015,4,22,44,0,2,3,98,6,TUSTIN AVE,NA,0,33.75563333,-117.8342111,0,9,0,0,1,1,0,1,3,1,0,1,0,0,99,99,99,99,99,99,0,0,0,1,0
48,482802,3,3,0,0,0,6,6,113,3420,19,11,2015,5,18,48,1,2,2,98,3,SR-183 AIRPORT FWY,NA,74,32.83659444,-96.92337778,0,12,2,1,18,1,1,1,3,1,0,1,0,0,18,50,19,0,19,13,14,0,0,2,1
6,62435,1,1,0,0,0,2,2,95,0,27,4,2015,2,21,39,0,1,7,98,4,CR-FOX RD,NA,0,38.38506111,-121.8780306,0,10,0,0,6,1,0,1,2,1,0,1,0,9999999,99,99,99,99,99,99,0,0,0,1,1
35,350149,1,1,0,0,0,1,1,1,30,8,8,2015,7,10,0,0,2,7,4,6,KARROL SW,NA,0,35.01019444,-106.7274222,0,39,0,0,1,1,0,4,1,1,0,1,0,0,99,99,10,5,88,88,0,0,0,1,0
42,420548,1,1,0,1,1,1,1,17,0,9,7,2015,5,18,26,0,1,7,3,5,ERVIN RD,NA,0,40.44333333,-75.12427778,0,9,0,0,1,1,0,1,1,1,0,1,0,0,18,27,18,36,88,88,0,0,0,1,1
12,121617,2,2,0,0,0,2,2,86,1030,23,8,2015,1,1,56,9,8,98,98,9,SW 344TH ST,SW 172ND AVE,99998,25.44781667,-80.468925,0,12,6,0,2,2,0,1,3,1,0,1,0,0,99,99,99,99,88,88,19,0,0,1,0
12,121060,1,1,0,1,1,1,1,11,2219,13,6,2015,7,20,55,9,8,98,98,9,W MCNAB RD,NA,99998,26.2084,-80.24018333,0,8,0,0,1,1,0,1,3,1,0,1,0,0,99,99,99,99,99,99,0,0,0,1,0
12,120206,1,1,0,0,0,1,1,111,0,12,2,2015,5,13,30,1,2,3,1,3,SR-713,NA,99998,27.487075,-80.35066667,0,59,0,0,1,1,0,4,1,1,0,1,0,0,99,99,99,99,88,88,0,0,0,1,0
42,420628,1,1,0,1,1,1,1,89,0,28,9,2015,2,2,6,0,2,7,1,3,SR-191,NA,85,41.039325,-75.21011389,0,8,0,0,1,1,0,1,3,1,0,1,0,0,99,99,99,99,99,99,0,0,0,1,0
