STATE,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,ROAD_FNC,ROUTE,TWAY_ID,TWAY_ID2,MILEPT,LATITUDE,LONGITUD,SP_JUR,HARM_EV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,RAIL,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,CF1,CF2,CF3,FATALS,DRUNK_DR
37,370012,1,1,0,1,1,1,1,35,2150,15,1,2013,3,19,7,0,14,6,16TH ST NE,18TH ST NE,99999,35.77463056,-81.29630278,0,8,0,0,1,1,0,1,3,2,0,2,0,0,19,5,19,12,19,30,0,0,0,1,0
48,481888,1,1,0,0,0,1,1,201,0,5,8,2013,2,2,40,0,6,4,CR-NORTHCREST DR,NA,0,30.09524722,-95.51722222,0,30,0,0,1,1,0,4,2,1,0,1,0,0,88,88,88,88,88,88,0,0,0,1,1
13,130441,2,2,0,0,0,6,6,121,280,31,5,2013,6,20,10,1,13,3,SR-120,NORTHSIDE DRIVE,1,33.77583611,-84.40696667,0,12,6,0,2,2,0,1,1,1,0,1,0,0,20,11,20,16,20,40,0,0,0,1,0
24,240245,3,3,0,0,0,3,3,5,0,20,6,2013,5,6,14,1,11,1,I-95,NA,27,39.25927222,-76.67462222,0,12,1,0,1,1,0,1,2,1,0,1,0,0,99,99,99,99,99,99,0,0,0,1,0
20,200084,2,2,0,0,0,4,4,37,0,20,4,2013,7,15,42,0,3,3,SR-7,W 590 AVE,326,37.46940278,-94.83392778,0,12,6,0,2,2,0,1,1,1,0,1,0,0,15,46,16,0,16,50,0,0,0,1,0
35,350170,2,2,0,0,0,2,2,31,159,1,9,2013,1,20,38,0,3,3,SR-566,NA,11,35.54406667,-108.599525,3,12,1,0,8,1,0,1,2,1,0,1,0,0,99,99,99,99,99,99,0,0,0,1,0
22,220534,1,1,0,1,1,1,1,51,1488,12,11,2013,3,21,15,1,12,2,US-90Z WESTBANK EXPRESSWAY,NA,39,29.89336944,-90.12461944,0,9,0,0,8,1,0,1,3,1,0,1,0,0,21,15,21,19,21,59,0,0,0,1,0
40,400373,2,1,1,0,0,1,1,143,4780,7,9,2013,7,99,99,0,16,6,E LATIMER CT,NA,0,36.17139167,-95.87287222,0,14,0,0,1,1,0,7,2,1,0,1,0,0,6,36,6,51,88,88,0,0,0,1,0
8,80140,2,2,0,0,0,2,2,41,430,27,5,2013,2,21,39,1,13,6,S ACADEMY BLVD,BOYCHUK AVE,0,38.79295,-104.75765,0,12,6,0,2,3,0,1,3,1,0,1,0,0,21,39,99,99,99,99,0,0,0,1,0
6,62713,1,1,0,0,0,2,2,105,0,22,12,2013,1,12,5,0,2,3,SR-36,NA,181,40.37246111,-123.3084111,0,1,0,0,1,1,0,5,1,1,0,1,0,0,99,99,99,99,99,99,0,0,0,1,0
42,421038,1,1,0,0,0,1,1,29,0,21,12,2013,7,3,27,0,14,3,SR-1039 BRIDGE ST,NA,24,40.18305833,-75.56471111,0,30,0,0,1,1,0,4,2,1,0,1,0,0,99,99,99,99,99,99,0,0,0,1,1
26,260225,1,1,0,1,1,1,1,73,0,21,5,2013,3,22,9,0,3,3,SR-20 REMUS RD,NA,5,43.59575,-85.07643611,0,8,0,0,1,1,0,4,2,1,0,1,0,0,99,99,99,99,88,88,0,0,0,1,0
22,220082,1,1,0,0,0,2,2,15,230,17,2,2013,1,3,18,1,11,1,I-20,NA,234,32.52788056,-93.67805,0,42,0,0,1,1,0,4,3,1,0,1,0,0,3,36,3,49,4,10,0,0,0,1,1
26,260719,1,1,0,1,1,1,1,49,1730,3,11,2013,1,21,10,1,13,6,W PIERSON RD,SUSAN ST,52,43.06083889,-83.71932778,0,9,0,0,3,2,0,1,3,1,0,1,0,0,99,99,99,99,88,88,0,0,0,1,1
18,180323,1,1,0,0,0,1,1,33,1020,4,7,2013,5,20,13,0,4,3,SR-327,CR-11,0,41.43836667,-85.14258333,0,42,0,0,1,1,0,4,2,1,0,1,0,0,1,22,1,38,88,88,0,0,0,1,0
22,220142,1,1,0,0,0,1,1,63,2350,13,3,2013,4,17,17,0,14,3,SR-447 N. WALKER ROAD,NA,101,30.49581389,-90.86418333,0,30,0,0,1,1,0,4,1,1,0,1,0,0,17,19,17,27,17,58,0,0,0,1,0
22,220368,1,1,0,0,0,1,1,95,1270,28,4,2013,1,13,25,1,13,3,SR-3188,NA,17,30.09853889,-90.50576111,0,33,0,0,1,1,0,3,1,10,0,10,0,0,13,34,13,39,13,51,0,0,0,1,0
13,130336,3,3,0,0,0,5,5,67,3440,22,4,2013,2,21,8,0,16,6,SHAW ROAD,NA,6,34.02935833,-84.50983056,0,12,2,0,1,1,0,1,2,1,0,1,0,0,99,98,99,98,88,88,0,0,0,1,1
13,130658,2,2,0,0,0,3,3,113,0,15,8,2013,5,6,42,0,5,4,CR-144 / GOZA RD,NA,8,33.37758056,-84.41919722,0,12,2,0,1,1,0,1,2,10,0,10,0,0,6,42,6,50,7,25,0,0,0,1,0
8,80076,3,3,0,0,0,4,4,5,110,31,3,2013,1,8,58,1,11,1,I-225,E MISSISSIPPI AVE,69,39.69654722,-104.8282917,0,33,0,1,3,2,0,4,1,1,0,1,0,0,8,56,8,59,99,99,0,0,0,1,1
