STATE,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,ROAD_FNC,ROUTE,TWAY_ID,TWAY_ID2,MILEPT,LATITUDE,LONGITUD,SP_JUR,HARM_EV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,RAIL,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,CF1,CF2,CF3,FATALS,DRUNK_DR
55,550159,2,2,0,0,0,3,3,131,0,18,6,2014,4,8,38,0,4,4,CR-H,NA,0,43.49735556,-88.18888333,0,12,6,0,1,1,0,1,1,2,0,2,0,0,99,99,8,49,9,41,0,0,0,2,0
26,260452,1,1,0,1,1,1,1,139,0,25,7,2014,6,23,53,0,6,4,CR-ARTHUR ST,NA,125,43.06010833,-85.85747778,0,8,0,0,1,1,0,1,2,1,0,1,0,0,23,54,0,11,99,99,22,0,0,1,0
36,360821,2,2,0,0,0,3,3,7,2543,5,12,2014,6,17,10,1,1,1,I-88,NA,0,42.18454167,-75.60949722,0,24,0,0,1,1,0,3,2,3,12,3,0,0,17,25,17,38,18,17,0,0,0,2,0
36,360661,2,2,0,0,0,6,6,87,5980,5,10,2014,1,20,37,0,16,6,55 WASHBURNS LANE,NA,0,41.22349722,-73.9898,0,12,6,0,1,1,0,1,3,1,0,1,0,0,20,37,20,45,99,99,0,0,0,1,1
9,90033,1,1,0,1,1,1,1,11,505,23,2,2014,1,19,35,1,2,3,SR-2,NA,517,41.44779444,-71.89595,0,8,0,0,1,1,0,1,2,1,0,1,0,0,19,33,19,38,20,27,0,0,0,1,0
6,61267,2,2,0,0,0,2,2,73,3375,27,7,2014,1,1,20,0,14,6,S SANTA FE AVE,LAS FLORES DR,0,33.15685,-117.2000306,0,12,6,0,2,2,0,1,3,10,0,10,0,0,99,99,99,99,88,88,0,0,0,1,2
55,550409,1,1,0,0,0,2,2,87,2370,29,11,2014,7,1,29,0,13,4,CR-OO,NA,0,44.287475,-88.27834722,0,31,0,0,1,1,0,4,3,10,0,10,0,0,1,31,1,38,1,58,0,0,0,1,1
48,481142,1,1,0,0,0,3,3,141,2190,10,5,2014,7,6,26,0,16,5,JOHN HAYES RD/JOBE RD,NA,0,31.76925,-106.2167,0,44,0,0,1,1,0,1,1,1,0,1,0,0,6,32,6,46,7,47,6,0,0,1,1
8,80268,2,2,0,0,0,7,7,59,1435,16,8,2014,7,7,36,1,11,1,I-70,NA,2622,39.73680556,-105.1634056,0,12,2,1,18,1,0,1,1,1,0,1,0,0,99,99,99,99,99,99,0,0,0,1,0
12,120042,2,1,1,0,1,1,2,91,0,8,1,2014,4,11,15,1,11,1,I-10,NA,99998,30.72234722,-86.59332778,0,14,0,0,1,1,0,4,1,1,0,1,0,0,99,99,99,99,88,88,0,0,0,1,0
